"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"HDDP","Haddock | snapper","683","57","0","1.49","1.78","5","2019"
"HDDS","Haddock | scrod","15366","9808","1.29","1.96","2.39","5","2019"
"CADM","Cod | market","6218","6218","2.63","3.21","5.21","6","2019"
"CADS","Cod | scrod","57","43","0","1.69","1.92","6","2019"
"HDDL","Haddock | large","3475","3467","0","2.63","4.17","6","2019"
"HDDP","Haddock | snapper","1598","1109","0","0.46","0.75","6","2019"
"HDDS","Haddock | scrod","41240","26745","0","1.58","2.26","6","2019"
"CADM","Cod | market","5220","5220","2.09","3.24","4.46","7","2019"
"CADS","Cod | scrod","58","30","0","2.63","2.75","7","2019"
"HDDL","Haddock | large","2002","2002","1.43","2.6","3.1","7","2019"
"HDDP","Haddock | snapper","553","542","0","0.51","0.74","7","2019"
"HDDS","Haddock | scrod","17971","17841","1.09","1.54","2.03","7","2019"
"CADM","Cod | market","3781","3781","2.92","3.76","5.16","8","2019"
"CADS","Cod | scrod","13","5","0","1.53","1.53","8","2019"
"HDDL","Haddock | large","5827","5827","1.71","2.5","4.67","8","2019"
"HDDP","Haddock | snapper","764","282","0","0.66","0.98","8","2019"
"HDDS","Haddock | scrod","26124","18833","0","1.57","2.26","8","2019"
"CADM","Cod | market","5849","5649","2.47","3.88","6.11","9","2019"
"HDDL","Haddock | large","5983","5983","1.51","2.04","3","9","2019"
"HDDP","Haddock | snapper","561","473","0","0.77","1.04","9","2019"
"HDDS","Haddock | scrod","16863","16745","0","1.54","2.27","9","2019"
"CADM","Cod | market","4834","4819","0","3.19","4.82","10","2019"
"CADS","Cod | scrod","9","0","0","0","0","10","2019"
"HDDL","Haddock | large","7492","7489","0","2.03","3.36","10","2019"
"HDDP","Haddock | snapper","4197","3977","0","1","1.61","10","2019"
"HDDS","Haddock | scrod","35278","33856","0","1.47","2.65","10","2019"
"CADM","Cod | market","1159","1159","2.53","3.07","4.21","11","2019"
"HDDL","Haddock | large","2468","2449","0","2.15","2.95","11","2019"
"HDDP","Haddock | snapper","64","57","0","0.77","0.81","11","2019"
"HDDS","Haddock | scrod","5861","5776","0","1.6","2.39","11","2019"
"CADM","Cod | market","4574","4574","3.24","4.2","5.96","12","2019"
"CADS","Cod | scrod","37","37","1.69","3.46","4.02","12","2019"
"HDDL","Haddock | large","2933","2933","1.95","2.6","5.02","12","2019"
"HDDP","Haddock | snapper","647","602","0","0.98","1.41","12","2019"
